,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,0.0,24.0,0.0,50.0
1,1976.0,0.0,24.0,1.0,50.0
2,1976.0,0.0,24.0,2.0,50.0
3,1976.0,0.0,24.0,3.0,50.0
4,1976.0,0.0,24.0,4.0,50.0
5,1976.0,0.0,24.0,5.0,50.0
6,1976.0,0.0,24.0,6.0,50.0
7,1976.0,0.0,24.0,7.0,50.0
8,1976.0,0.0,24.0,8.0,50.0
9,1976.0,0.0,24.0,9.0,50.0
10,1976.0,0.0,24.0,10.0,50.0
11,1976.0,0.0,24.0,11.0,50.0
12,1976.0,0.0,24.0,12.0,50.0
13,1976.0,0.0,24.0,13.0,50.0
14,1976.0,0.0,24.0,14.0,50.0
15,1976.0,0.0,24.0,15.0,50.0
16,1976.0,0.0,24.0,16.0,50.0
17,1976.0,0.0,24.0,17.0,50.0
18,1976.0,0.0,24.0,18.0,50.0
19,1976.0,0.0,24.0,19.0,50.0
20,1976.0,0.0,24.0,20.0,50.0
